"filename", "language", "JavaScript JSX", "JavaScript", "comment", "blank", "total"
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\mock\mockBucketlist.js", "JavaScript", 0, 26, 0, 1, 27
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\redux\index.js", "JavaScript", 0, 3, 1, 0, 4
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\redux\modules\bucketSlice.js", "JavaScript", 0, 17, 0, 6, 23
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\bucket\bucketChildren\BucketList.jsx", "JavaScript JSX", -55, 0, -1, -4, -60
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\bucket\bucketChildren\BucketList\BucketList.jsx", "JavaScript JSX", 33, 0, 2, 6, 41
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\bucket\bucketListCard\BucketListCard.jsx", "JavaScript JSX", 12, 0, 0, 2, 14
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\bucket\bucketListNav\BucketListNav.jsx", "JavaScript JSX", 8, 0, 1, 1, 10
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\bucket\bucketListNav\NavComponents\CreateBucketModal.jsx", "JavaScript JSX", -24, 0, -1, -2, -27
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\bucket\bucketListNav\NavComponents\CreateBucketSteps.jsx", "JavaScript JSX", -71, 0, -1, -4, -76
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\bucket\bucketListNav\NavComponents\CreateBucket\CreateBucketModal.jsx", "JavaScript JSX", 28, 0, 2, 3, 33
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\bucket\bucketListNav\NavComponents\CreateBucket\CreateBucketSteps.jsx", "JavaScript JSX", 92, 0, 2, 10, 104
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\bucket\bucketListNav\NavComponents\CreateBucket\CreateStep1.jsx", "JavaScript JSX", 96, 0, 6, 7, 109
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\bucket\bucketListNav\NavComponents\CreateBucket\CreateStep2.jsx", "JavaScript JSX", 0, 0, 0, 1, 1
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\bucket\bucketListNav\NavComponents\CreateStep1.jsx", "JavaScript JSX", -80, 0, -4, -6, -90
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\bucket\bucketListNav\provider\CreateBucketProvider.jsx", "JavaScript JSX", 22, 0, 1, 3, 26
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\bucket\index.jsx", "JavaScript JSX", 13, 0, 2, -1, 14
"Total", "-", 74, 46, 10, 23, 153